timestamp,Temperature,Humidity,Soil,WaterReserv,LightStatus,PumpStatus,CoolerStatus,HeaterStatus,HumidStatus,DehumidStatus
2026-03-17T20:46:17.454931,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T20:51:16.574924,0.0,0.0,0.0,0.0,True,True,,True,True,
2026-03-17T20:59:30.336410,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:02:16.550249,0.0,0.0,0.0,0.0,True,True,,True,True,
2026-03-17T21:04:29.567637,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:09:28.746066,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:14:27.846441,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:15:17.234137,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:16:50.787135,0.0,0.0,0.0,0.0,True,True,,True,True,
2026-03-17T21:19:27.121178,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:24:26.257236,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:29:25.324404,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:34:24.473952,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:39:23.545371,0.0,0.0,0.0,0.0,True,False,,True,True,
2026-03-17T21:44:22.700795,0.0,0.0,0.0,0.0,True,True,,True,True,
2026-03-17T21:49:21.819661,0.0,0.0,0.0,0.0,True,True,,True,True,
